# Ggj, R1-R5,mle1-mle5,met1-met5
0.0000001,0.120756,0.120149,0.115417,0.122284,0.129471,-0.000034,0.000001,-0.000040,0.000105,-0.000016,0.003643,0.004178,0.003792,0.004197,0.004360
0.000001,0.134684,0.125792,0.122173,0.117730,0.120054,0.002973,0.002813,0.002201,0.002259,0.003519,0.004319,0.004171,0.003889,0.003664,0.004097
0.000002,0.127472,0.121867,0.115734,0.120865,0.117671,0.003407,0.002890,0.003247,0.003045,0.002784,0.003815,0.004290,0.003682,0.003774,0.003976
0.000004,0.128305,0.126513,0.116272,0.126266,0.116073,0.002722,0.002234,0.003178,0.003249,0.003401,0.003684,0.004405,0.003455,0.004036,0.003580
0.000007,0.128939,0.117368,0.114350,0.127874,0.123966,0.003330,0.002918,0.003326,0.003523,0.003338,0.004052,0.003467,0.003797,0.004394,0.004218
0.000012,0.129282,0.109302,0.115057,0.134947,0.127075,0.003672,0.003203,0.003040,0.003782,0.002890,0.004515,0.003005,0.003965,0.004297,0.004193
0.000023,0.127154,0.119845,0.122397,0.131882,0.125706,0.003491,0.003129,0.003540,0.002786,0.002874,0.004558,0.003354,0.004949,0.005281,0.004301
0.000043,0.131207,0.124715,0.123081,0.124291,0.122600,0.003931,0.003298,0.003749,0.003258,0.003464,0.004537,0.004186,0.004183,0.004471,0.004259
0.000081,0.121117,0.116538,0.127436,0.129373,0.129563,0.003820,0.003385,0.003647,0.004083,0.003747,0.003623,0.003684,0.004564,0.004307,0.004695
0.000152,0.133819,0.121010,0.124080,0.110639,0.129997,0.004298,0.003920,0.004646,0.004111,0.004212,0.004487,0.003705,0.004155,0.003976,0.004770
0.000285,0.119422,0.133531,0.123981,0.134905,0.132168,0.004995,0.004510,0.004667,0.004393,0.004839,0.003659,0.004644,0.003845,0.004727,0.004963
0.000534,0.131491,0.129687,0.132336,0.126050,0.128033,0.004700,0.004886,0.004953,0.004603,0.004730,0.004604,0.004363,0.004741,0.004289,0.004568
0.001000,0.130185,0.135170,0.131247,0.129064,0.123805,0.004657,0.004305,0.004235,0.004316,0.004033,0.004739,0.005447,0.005066,0.004672,0.003841
0.001874,0.132208,0.131391,0.134539,0.135823,0.120732,0.003609,0.003795,0.003557,0.004137,0.003397,0.004041,0.004558,0.004052,0.005308,0.003653
0.003511,0.138982,0.124888,0.128371,0.142480,0.133699,0.002153,0.002789,0.002547,0.002791,0.001783,0.004908,0.003881,0.004533,0.005601,0.005217
0.006579,0.188846,0.179963,0.183682,0.178233,0.194847,0.001209,0.001073,0.001958,0.001257,0.001781,0.008126,0.007938,0.007880,0.008146,0.008936
0.012328,0.324731,0.243226,0.267656,0.275129,0.351214,-0.000019,0.000250,0.001644,-0.000040,0.000033,0.014166,0.012683,0.016120,0.014746,0.022054
0.023101,0.331944,0.384280,0.392786,0.549888,0.643149,-0.000039,-0.000021,0.000130,-0.000013,-0.000025,0.028536,0.016566,0.009058,0.010625,0.005425
0.043288,0.578137,0.530930,0.431230,0.713910,0.823979,-0.000006,0.000023,-0.000014,0.000488,-0.000038,0.061909,0.027932,0.007726,0.007857,0.000000
0.081113,0.703193,0.566079,0.756137,0.853564,0.925841,0.000040,0.001005,0.000002,0.001135,0.002645,0.000094,0.019607,0.000000,0.000002,0.000037
0.151991,0.934632,0.568441,0.914055,0.992340,0.989123,0.002410,0.000075,0.000137,-0.000014,0.000036,0.000053,0.000169,0.000125,0.000002,0.000002
0.284804,0.991842,0.945952,0.987370,0.996115,0.997090,0.002939,0.000004,0.000017,0.002499,0.002371,0.000054,0.000024,0.000008,0.000008,0.000003
0.533670,0.997936,0.984222,0.995616,0.999165,0.999256,0.002592,0.002864,0.002355,0.003283,0.003085,0.000003,0.001048,0.000011,0.000000,0.000000
1.000000,0.999635,0.995019,0.998995,0.999812,0.999856,0.003347,0.000003,0.003287,0.003739,0.003891,0.000008,0.000007,0.000000,0.000000,0.000000
