0.57	0.207	0.00318412	0.000304512	-0.0217261	-0.579289	-1.64265	
0.525	0.202	0.00371736	0.000247287	-0.0223872	-0.570176	-1.64275	
0.165	0.19	0.0013065	0.000154784	-0.0236368	-0.512651	-1.65104	
0.37	0.204	0.00307924	0.000273642	-0.0244167	-0.552172	-1.64502	
0.375	0.197	0.00359087	0.000199665	-0.0230452	-0.551632	-1.64587	
0.17	0.196	0.00139945	0.000281321	-0.0257213	-0.515305	-1.65048	
0.555	0.212	0.00349916	0.000367707	-0.0234875	-0.578941	-1.64294	
0.51	0.211	0.0035941	0.000289528	-0.0235107	-0.574272	-1.64292	
0.425	0.2	0.00384326	0.000225823	-0.0231525	-0.559244	-1.64465	
0.53	0.204	0.00312606	0.000295651	-0.0218845	-0.572456	-1.64293	
0.255	0.193	0.00339882	0.000241841	-0.023397	-0.533497	-1.64784	
0.345	0.194	0.00321798	0.000183	-0.0226427	-0.545678	-1.64641	
0.285	0.193	0.00260981	0.000201241	-0.022995	-0.53666	-1.64803	
0.545	0.206	0.00304517	0.000224847	-0.0216963	-0.576266	-1.64294	
0.475	0.209	0.00344399	0.00031099	-0.023954	-0.568224	-1.64337	
0.28	0.199	0.00193212	0.000321014	-0.0247958	-0.535197	-1.64741	
0.535	0.202	0.00254506	0.00045931	-0.0221591	-0.568524	-1.64273	
0.435	0.198	0.00319008	0.000203624	-0.0216777	-0.560878	-1.64499	
0.565	0.204	0.00281697	0.000255041	-0.0220136	-0.573706	-1.64209	
0.355	0.199	0.00278436	0.000209003	-0.0236059	-0.547809	-1.64606	
0.395	0.205	0.00338513	0.000266498	-0.0245264	-0.55629	-1.64513	
0.58	0.214	0.00344118	0.00037216	-0.0234155	-0.582831	-1.64257	
0.25	0.193	0.00386683	0.000186378	-0.0239325	-0.532441	-1.6473	
0.115	0.209	0.00228214	3.5944e-05	-0.0277452	-0.51778	-1.65177	
0.315	0.194	0.00223587	8.99502e-05	-0.0227795	-0.540039	-1.64743	
0.28	0.233	0.00250632	0.000264428	-0.0268013	-0.566488	-1.64719	
0.33	0.195	0.00338603	0.000248898	-0.0230537	-0.544728	-1.64637	
0.585	0.217	0.00417531	0.000378528	-0.0237263	-0.586115	-1.64132	
0.265	0.192	0.00234097	0.000203788	-0.022936	-0.532674	-1.64845	
0.52	0.215	0.00311088	0.000263908	-0.0238584	-0.577115	-1.64264	
0.585	0.207	0.0038187	0.000304455	-0.0218976	-0.581862	-1.64246	
0.27	0.191	0.00373319	0.000186293	-0.02338	-0.533963	-1.6474	
0.56	0.204	0.00377012	0.000321833	-0.0224057	-0.575091	-1.64207	
0.16	0.191	0.00183975	0.000182642	-0.0234093	-0.515158	-1.65125	
0.19	0.194	0.00325365	0.000246896	-0.0250053	-0.522074	-1.6495	
0.28	0.194	0.0037696	0.000219013	-0.0237751	-0.536962	-1.64695	
0.495	0.208	0.00346666	0.000286054	-0.0234278	-0.570781	-1.64368	
0.35	0.197	0.003301	0.00032914	-0.0234133	-0.546376	-1.64501	
0.26	0.193	0.00389033	0.000263307	-0.0237201	-0.534321	-1.6471	
0.23	0.195	0.00326181	0.000253214	-0.0247784	-0.528655	-1.64855	
0.34	0.194	0.00446136	0.000246195	-0.0230701	-0.546904	-1.64512	
0.595	0.215	0.00383729	0.000282443	-0.023554	-0.58508	-1.64185	
0.265	0.196	0.00264099	0.000233087	-0.023768	-0.534736	-1.64785	
0.59	0.214	0.00322608	0.000305251	-0.0235682	-0.581713	-1.64203	
0.35	0.197	0.003301	0.00032914	-0.0234133	-0.546376	-1.64501	
0.245	0.195	0.00308013	0.000314029	-0.0244929	-0.531001	-1.64805	
0.28	0.193	0.00263407	0.000182393	-0.0230938	-0.535737	-1.64806	
0.495	0.209	0.00446752	0.000274275	-0.0238176	-0.572635	-1.643	
0.385	0.203	0.00207845	0.000352617	-0.0235809	-0.552131	-1.64497	
0.155	0.195	0.00222516	0.000211818	-0.0258514	-0.513423	-1.65073	
